order_id;customer_id;order_status;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date
dabf2b0e35b423f94618bf965fcb7514;5cdec0bb8cbdf53ffc8fdc212cd247c6;canceled;09/10/2016 0:56;09/10/2016 13:36;13/10/2016 13:36;16/10/2016 14:36;30/11/2016 0:00
b3aa45b7ba0f950a1b163a9f85f613de;ff4dfb2525a749384a0e31d68625443a;delivered;09/10/2016 13:31;10/10/2016 3:15;15/10/2016 12:41;19/10/2016 19:05;30/11/2016 0:00
809a282bbd5dbcabb6f2f724fca862ec;622e13439d6b5a0b486c435618b2679e;canceled;13/09/2016 15:24;07/10/2016 13:16;;;30/09/2016 0:00
c4e980a1d822db426982878b3cfdda6e;88dc22aad9cf20898eb3780977173dc5;invoiced;08/10/2016 22:06;09/10/2016 15:15;;;12/12/2016 0:00
5c5c9fde60ffb741545cf2608e8c12ca;a5cd42f5d1eecbf955de47ff1245b5d6;delivered;09/10/2016 23:55;10/10/2016 11:02;15/10/2016 12:38;19/10/2016 11:47;02/12/2016 0:00
dc91dbf7defabdf37c52672a989bad1b;63b1c99583effeec017dd7546c6a97ae;delivered;06/10/2016 12:22;06/10/2016 16:00;26/10/2016 11:49;27/10/2016 5:38;02/12/2016 0:00
48c43415ea1c4af9afa92542183b6e55;5589151bd114970188a1141fbd5c8d25;delivered;10/10/2016 17:49;10/10/2016 18:02;30/10/2016 10:37;01/11/2016 14:14;02/12/2016 0:00
f31853a4f30d4851c847e4494663e749;ed7a6b3de20e5e5593996b3605307300;delivered;06/10/2016 12:21;06/10/2016 14:21;15/10/2016 12:52;24/10/2016 20:55;30/11/2016 0:00
a241bea87dcdd0160ca94ebdba5bdbb9;b031d0752ca02dd1a780af8278140571;delivered;06/10/2016 9:22;06/10/2016 16:03;10/10/2016 16:03;13/10/2016 16:03;28/11/2016 0:00
1069874467b6a425853288c450f68fc9;cee53b7d3dd56da687a4fa61c6ce8d32;delivered;07/10/2016 22:51;07/10/2016 23:13;11/10/2016 23:13;28/10/2016 13:51;29/11/2016 0:00
88130f20a472f28fcca9dd5d50358820;8eff66e5b7c425dfbbe9a2cbf0f3883f;delivered;04/10/2016 21:35;06/10/2016 15:44;15/10/2016 10:29;18/10/2016 22:57;28/11/2016 0:00
98974b076b01553d49ee6467905675a7;dc7cdb748679fb6f280f66d7582c5e59;delivered;04/10/2016 15:44;06/10/2016 15:57;11/11/2016 15:29;17/11/2016 8:38;24/11/2016 0:00
06d7e8a85f5cfef576c5303ed7d7f2e5;57108de6e1cf238dfd0ed00e3d878096;delivered;07/10/2016 12:06;07/10/2016 12:36;15/10/2016 12:33;19/10/2016 18:51;01/12/2016 0:00
